ad_type_name,area,price,address,property_legal_document,rooms,toilets
"Văn phòng, Mặt bằng kinh doanh",77,47000000,Hà Nội,1.0,,
Căn hộ/Chung cư,77,5750000000,Hà Nội,6.0,2.0,2.0
Nhà ở,121,5200000000,Hà Nội,1.0,3.0,4.0
"Văn phòng, Mặt bằng kinh doanh",80,16000000,Hà Nội,1.0,,
Nhà ở,79,15800000000,Hà Nội,1.0,3.0,4.0
Nhà ở,86,10500000000,Đường Vạn Phúc,1.0,6.0,
Nhà ở,74,19900000000,Hà Nội,1.0,6.0,7.0
Nhà ở,80,32000000000,Hà Nội,1.0,2.0,2.0
Căn hộ/Chung cư,79,4500000000,Hà Nội,6.0,2.0,
Nhà ở,76,7500000000,Hà Nội,1.0,4.0,
Nhà ở,80,4500000000,Hà Nội,1.0,3.0,4.0
Đất,82,7300000000,Hà Nội,1.0,,
Đất,83,1900000000,Hà Nội,1.0,,
Căn hộ/Chung cư,80,4000000000,Hà Nội,6.0,3.0,1.0
Căn hộ/Chung cư,76,4680000000,Hà Nội,6.0,3.0,
Nhà ở,74,15500000000,Hà Nội,1.0,7.0,5.0
Nhà ở,81,6600000000,Hà Nội,1.0,4.0,
Nhà ở,80,15050000000,Hà Nội,1.0,3.0,5.0
"Văn phòng, Mặt bằng kinh doanh",75,7000000,Hà Nội,1.0,,
Nhà ở,76,13000000000,Hà Nội,1.0,3.0,5.0
Nhà ở,75,6500000000,Hà Nội,1.0,3.0,3.0
Căn hộ/Chung cư,75,4500000000,Hà Nội,6.0,2.0,2.0
Căn hộ/Chung cư,76,5050000000,Hà Nội,6.0,3.0,2.0
Nhà ở,76,3950000000,Hà Nội,1.0,3.0,4.0
Nhà ở,76,2800000000,Hà Nội,4.0,3.0,
Nhà ở,86,7400000000,Hà Nội,1.0,3.0,
Nhà ở,129,2700000,Hà Nội,2.0,1.0,1.0
Nhà ở,129,2700000,Hà Nội,2.0,1.0,1.0
Nhà ở,76,8300000000,Hà Nội,1.0,3.0,
Căn hộ/Chung cư,75,6400000000,Hà Nội,6.0,3.0,
"Văn phòng, Mặt bằng kinh doanh",75,8000000,Hà Nội,1.0,,
Nhà ở,121,6500000000,Hà Nội,1.0,4.0,4.0
Nhà ở,78,13000000000,Hà Nội,1.0,8.0,3.0
Nhà ở,80,8800000000,Hà Nội,1.0,4.0,
"Văn phòng, Mặt bằng kinh doanh",75,11000000,Hà Nội,1.0,,
Phòng trọ,77,4500000,Khương Đình,,,
Nhà ở,121,3700000,Hà Nội,1.0,1.0,
Nhà ở,80,7800000000,Hà Nội,1.0,3.0,4.0
Nhà ở,79,14800000000,Hà Nội,1.0,3.0,4.0
Đất,92,4300000000,Hà Nội,1.0,,
Nhà ở,75,7200000000,Hà Nội,1.0,4.0,2.0
Phòng trọ,121,4000000,Hà Nội,,,
Nhà ở,81,7200000000,Hà Nội,1.0,3.0,
Nhà ở,121,12000000,Hà Nội,1.0,3.0,2.0
Căn hộ/Chung cư,81,5800000000,Hà Nội,6.0,2.0,2.0
Nhà ở,86,6880000000,Hà Nội,1.0,6.0,4.0
Nhà ở,80,8500000000,Hà Nội,1.0,5.0,5.0
Nhà ở,80,8500000000,Hà Nội,1.0,5.0,5.0
Phòng trọ,74,4500000,Hà Nội,,,
Nhà ở,77,9900000000,Hà Nội,1.0,4.0,
Căn hộ/Chung cư,76,12500000,Hà Nội,6.0,3.0,2.0
Căn hộ/Chung cư,129,9500000,Hà Nội,6.0,3.0,2.0
Nhà ở,74,14800000000,Hà Nội,1.0,4.0,
Nhà ở,80,3500000000,Hà Nội,4.0,1.0,
Căn hộ/Chung cư,79,15000000,Hà Nội,6.0,2.0,2.0
Phòng trọ,121,3100000,Hà Nội,,,
Nhà ở,79,17800000000,Hà Nội,1.0,5.0,
Nhà ở,81,18000000000,Hà Nội,1.0,2.0,2.0
Nhà ở,86,9400000000,Hà Nội,1.0,3.0,4.0
Nhà ở,86,7950000000,Hà Nội,1.0,3.0,4.0
Đất,82,5600000000,Hà Nội,1.0,,
Nhà ở,81,10899000000,Hà Nội,1.0,3.0,4.0
Nhà ở,77,7300000000,Hà Nội,1.0,3.0,4.0
Căn hộ/Chung cư,121,4250000000,Hà Nội,6.0,2.0,2.0
Nhà ở,121,3500000000,Hà Nội,1.0,3.0,4.0
Nhà ở,77,7300000000,Hà Nội,1.0,3.0,4.0
Nhà ở,77,7200000000,Hà Nội,1.0,5.0,3.0
Căn hộ/Chung cư,80,8000000,Hà Nội,6.0,2.0,2.0
Phòng trọ,86,2500000,Hà Nội,,,
Đất,84,3350000000,Hà Nội,1.0,,
Phòng trọ,77,4800000,Hà Nội,,,
Nhà ở,121,8600000000,Hà Nội,1.0,6.0,4.0
Nhà ở,80,1480000000,Hà Nội,4.0,2.0,
Đất,87,3700000000,Hà Nội,1.0,,
Nhà ở,75,9600000000,Hà Nội,1.0,4.0,3.0
Phòng trọ,74,2200000,Hà Nội,,,
Đất,90,26460000000,Hà Nội,1.0,,
Nhà ở,81,11200000000,Hà Nội,1.0,3.0,
Nhà ở,80,4700000000,Hà Nội,5.0,3.0,
Nhà ở,84,11300000000,Hà Nội,1.0,11.0,7.0
Nhà ở,80,22500000000,Hà Nội,1.0,6.0,7.0
Nhà ở,74,17800000000,Hà Nội,1.0,8.0,7.0
Nhà ở,77,7300000000,Hà Nội,1.0,5.0,4.0
Nhà ở,129,11500000000,Hà Nội,1.0,3.0,3.0
Nhà ở,77,7300000000,Hà Nội,1.0,5.0,4.0
Căn hộ/Chung cư,121,4250000000,Hà Nội,6.0,2.0,2.0
Phòng trọ,80,1900000,Hà Nội,,,
Căn hộ/Chung cư,80,4750000000,Hà Nội,6.0,2.0,2.0
Nhà ở,76,8900000000,Hà Nội,1.0,3.0,4.0
Nhà ở,89,5660000000,Hà Nội,1.0,2.0,2.0
Đất,83,1300000000,Hà Nội,1.0,,
Nhà ở,90,6650000000,Hà Nội,1.0,4.0,4.0
Nhà ở,78,3000000,Hà Nội,1.0,3.0,3.0
Căn hộ/Chung cư,121,12400000000,Hà Nội,6.0,3.0,
Nhà ở,75,30800000000,Hà Nội,1.0,8.0,7.0
Căn hộ/Chung cư,129,6200000000,Hà Nội,6.0,3.0,
Nhà ở,81,6800000000,Hà Nội,1.0,3.0,
Nhà ở,80,8650000000,Hà Nội,1.0,6.0,4.0
Nhà ở,121,13200000000,Hà Nội,1.0,11.0,7.0
Căn hộ/Chung cư,121,24500000000,Hà Nội,2.0,11.0,7.0
Nhà ở,77,10500000000,Hà Nội,1.0,4.0,3.0
Căn hộ/Chung cư,80,3200000000,Hà Nội,6.0,2.0,1.0
Phòng trọ,80,3300000,Hà Nội,,,
Căn hộ/Chung cư,80,3500000000,Hà Nội,6.0,2.0,2.0
Căn hộ/Chung cư,80,6600000000,Hà Nội,6.0,3.0,
Nhà ở,75,8300000000,Hà Nội,1.0,3.0,4.0
Nhà ở,80,6250000000,Hà Nội,1.0,3.0,4.0
Căn hộ/Chung cư,78,8500000,Hà Nội,4.0,1.0,1.0
Nhà ở,76,3950000000,Hà Nội,2.0,2.0,2.0
Nhà ở,80,1470000000,Hà Nội,2.0,2.0,3.0
Nhà ở,86,22200000000,Hà Nội,1.0,6.0,6.0
Đất,81,6900000000,Hà Nội,1.0,,
